Insert times: 
0.22
0.35
0.28
0.29
0.19
0.28
0.3
0.3
0.28
0.17
0.27
0.26
0.27
0.16
0.28
0.26
0.7
0.29
0.2
0.29
0.44
0.3
0.26
0.16
0.25
0.25
0.23
0.15
0.24
0.23
0.24
0.24
0.15
0.22
0.24
0.24
0.14
0.22
0.23
0.23
0.23
0.15
0.24
0.24
0.24
0.15
0.24
0.24
0.28
0.26
0.16
0.48
0.26
0.25
0.26
0.31
0.24
0.23
0.47
0.13
0.21
0.21
0.22
0.22
0.13
0.21
0.21
0.21
0.13
0.2
0.19
0.19
0.21
0.13
0.2
0.19
0.18
0.12
0.22
0.21
0.19
0.19
0.12
0.19
0.2
0.19
0.18
0.11
0.19
0.19
0.18
0.11
0.19
0.19
0.19
0.18
0.11
0.2
0.19
0.19
Search times: 
0.14
0.05
0.08
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.06
0.06
0.06
0.05
0.06
0.06
0.05
0.05
0.06
0.06
0.05
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.08
0.07
0.08
0.08
0.06
0.08
0.06
0.07
0.05
0.06
0.06
0.05
0.06
0.06
0.06
0.07
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.09
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.06
0.07
0.06
0.06
0.06
0.07
0.07
0.07
0.07
0.07
0.07
0.06
0.06
0.06
0.07
0.08
0.06
Insert collisions: 
0
1
1
1
1
1
4
1
2
1
2
0
0
6
6
5
3
4
4
7
3
8
3
4
7
6
9
7
9
7
5
6
9
3
8
9
14
10
9
8
16
12
11
12
9
8
11
11
8
17
17
15
19
10
16
11
11
18
19
11
13
12
14
15
19
15
18
14
15
17
13
17
18
17
20
16
11
21
25
21
19
21
25
23
27
28
18
20
23
23
18
26
21
18
18
21
21
28
22
22
Search collisions: 
0
1
2
2
1
1
4
0
3
0
1
0
0
2
0
5
0
1
2
2
1
6
2
1
0
4
4
4
3
2
3
2
6
1
0
3
6
8
4
5
8
8
6
7
8
4
8
6
0
10
12
13
9
10
7
6
10
7
12
5
11
9
5
8
10
9
11
6
6
6
5
13
7
16
18
3
5
9
11
9
6
7
9
3
12
5
13
6
8
13
12
17
13
12
9
8
13
17
19
11
Insert Collisions: 1229
Search Collisions: 638
