Insert times: 
0.07
0.17
0.15
0.15
0.06
0.15
0.15
0.15
0.15
0.05
0.13
0.13
0.13
0.05
0.14
0.15
0.41
0.15
0.06
0.15
0.14
0.15
0.21
0.08
0.19
0.19
0.2
0.08
0.2
0.2
0.22
0.24
0.08
0.22
0.2
0.2
0.08
0.2
0.2
0.27
0.2
0.08
0.2
0.2
0.2
0.08
0.21
0.2
0.2
0.2
0.06
0.17
0.16
0.16
0.17
0.06
0.16
0.16
0.49
0.06
0.16
0.19
0.3
0.21
0.06
0.18
0.3
0.32
0.06
0.3
0.28
0.22
0.19
0.06
0.21
0.18
0.16
0.06
0.16
0.16
0.17
0.17
0.06
0.2
0.17
0.17
0.17
0.06
0.17
0.16
0.17
0.07
0.23
0.16
0.16
0.2
0.06
0.17
0.17
0.17
Search times: 
0.5
1.03
1.72
2.32
2.98
3.99
4.25
4.99
5.18
5.72
6.22
6.7
7.32
8.05
8.57
9.63
10.63
11.31
12.04
10.98
12.97
14.79
18.47
19.09
19.87
20.58
21.19
21.56
22.93
24.19
25.4
25.82
26.36
27.47
27.97
28.06
28.46
30.25
31
31.84
32.14
32.3
34.14
34.26
36.66
35.58
37.1
37.75
33.09
32.04
32.8
32.16
33.09
33.71
33.74
35.01
36.92
35.64
37.49
38.43
38.91
40.8
41.35
40.61
41.49
45.54
48.47
47.12
48.33
45.73
50.33
44.85
45.18
47.73
48.21
45.09
49.62
48.19
48.35
49.96
50.1
50.11
50.39
51.05
53.18
49.5
55.74
55.98
52.32
56.28
59.07
57.26
60.13
58.84
60.55
61.04
60.18
62.67
64.79
64.14
